,h,b,s,t,r1,r2,r3,a,,,
Шв. гн.200x80x4,20,8,0.4,0.4,0.6,0,1,0,13.81,823.48,83.67
Шв. гн.200x80x5,20,8,0.5,0.5,0.7,0,1.2,0,17.09,1006.26,102.45
Шв. гн.200x80x6,20,8,0.6,0.6,0.9,0,1.5,0,20.26,1174.93,120.22
Шв. гн.200x100x3,20,10,0.3,0.3,0.5,0,0.8,0,11.65,748.08,118.41
Шв. гн.200x100x6,20,10,0.6,0.6,0.9,0,1.5,0,22.66,1400.08,224.37
Шв. гн.200x180x6,20,18,0.6,0.6,0.9,0,1.5,0,32.26,2304.37,1122.23
Шв. гн.205x38x2.5,20.5,3.8,0.25,0.25,0.3,0,0.55,0,6.81,351.96,6.62
Шв. гн.206x75x6,20.6,7.5,0.6,0.6,0.9,0,1.5,0,20.02,1200.75,101.09
Шв. гн.210x57x4,21,5.7,0.4,0.4,0.6,0,1,0,12.37,728.59,32.59
Шв. гн.250x35x3,25,3.5,0.3,0.3,0.5,0,0.8,0,9.25,657.45,6.34
Шв. гн.250x60x3,25,6,0.3,0.3,0.5,0,0.8,0,10.75,886.25,30.27
Шв. гн.250x60x4,25,6,0.4,0.4,0.6,0,1,0,14.21,1156.1,39.37
Шв. гн.250x60x5,25,6,0.5,0.5,0.7,0,1.2,0,17.59,1413.5,48.01
Шв. гн.250x60x6,25,6,0.6,0.6,0.9,0,1.5,0,20.86,1650.53,56.16
Шв. гн.250x125x6,25,12.5,0.6,0.6,0.9,0,1.5,0,28.66,2811.72,448.01
Шв. гн.270x100x7,27,10,0.7,0.7,1,0,1.7,0,31.11,3254.41,283.03
Шв. гн.280x60x3.9,28,6,0.39,0.39,0.6,0,0.99,0,15.03,1495.61,39.47
Шв. гн.280x140x5,28,14,0.5,0.5,0.7,0,1.2,0,27.09,3388.17,536.69
Шв. гн.300x80x6,30,8,0.6,0.6,0.9,0,1.5,0,26.26,3131.48,134.74
Шв. гн.300x100x8,30,10,0.8,0.8,1.2,0,2,0,37.62,4694.84,327.88
Шв. гн.310x100x6,31,10,0.6,0.6,0.9,0,1.5,0,29.26,3948.93,256.39
Шв. гн.380x65x6,38,6.5,0.6,0.6,0.9,0,1.5,0,29.26,4998.26,77.71
Шв. гн.400x95x8,40,9.5,0.8,0.8,1.2,0,2,0,44.82,9179.84,305.12
Шв. гн.410x65x6,41,6.5,0.6,0.6,0.9,0,1.5,0,31.06,6077.35,78.82
